# girsa-hebrew regression corpus. GENERATED by examples/harvest.rs from the
# Otzaria text tree; every left and right value is a string that genuinely
# occurs in a sefer. Do not hand-edit — regenerate.
#
# kind	left	right	where-left	where-right
nikud	לְהַרְהֵר	להרהר	משנה תורה, הלכות מעילה	קיצור שע ילקוט יוסף החדש - אבן העזר
nikud	וְגֵירְשָׁהּ	וגירשה	תלמוד ירושלמי קידושין	קיצור שע ילקוט יוסף החדש - אבן העזר
nikud	לֶאֱחוֹז	לאחוז	חגיגה	קיצור שע ילקוט יוסף החדש - אבן העזר
nikud	בְּמֵיטַב	במיטב	משנה בבא קמא	יפה תואר על שמות רבה
nikud	יִכְפֶּה	יכפה	משנה חולין	דרך פקודיך
nikud	בָּעֵדִים	בעדים	תלמוד ירושלמי קידושין	קיצור שע ילקוט יוסף החדש - אבן העזר
nikud	תַּקָּנָתוֹ	תקנתו	משנה תורה, הלכות מגילה וחנוכה	אבן האזל על משנה תורה, הלכות אישות
nikud	הוֹאִיל	הואיל	משנה תורה, מסירת תורה שבעל פה	קיצור שע ילקוט יוסף החדש - אבן העזר
nikud	הַיָּתֵד	היתד	משנה תורה, הלכות טומאת אוכלים	מעשה רקח על הלכות תפילין ומזוזה וספר תורה
nikud	רָצִין	רצין	איכה רבה	דברי ירמיהו על משנה תורה, הלכות עירובין
nikud	לְבָבֶל	לבבל	איכה רבה	לחם משנה על משנה תורה, הלכות תשובה
nikud	בַּדֶּשֶׁן	בדשן	חגיגה	ידי משה על במדבר רבה
nikud	וְהַדְּבַשׁ	והדבש	משנה תורה, הלכות טומאת אוכלים	חפץ חיים על ספרא
nikud	חוֹרוֹן	חורון	בן יהוידע על ראש השנה	עבודה זרה
nikud	בָּאתָה	באתה	איכה רבה	קובץ על היד החזקה על משנה תורה, הלכות סוטה
nikud	לִיהוּדָה	ליהודה	משנה מעשרות	אבן האזל על משנה תורה, הלכות אישות
nikud	הַסָּפֵק	הספק	תלמוד ירושלמי קידושין	קיצור שע ילקוט יוסף החדש - אבן העזר
nikud	וּבָנִים	ובנים	משנה תורה, הלכות עבדים	דרך פקודיך
nikud	מַלְכוּתִי	מלכותי	איכה רבה	פירוש מהרזו על ויקרא רבה
nikud	תְּאֵינָה	תאינה	תלמוד ירושלמי מעשרות	רמבם משנה כלים
nikud	וַעֲ֘וֺנִ֤י	ועוני	מחזור יום כיפור עדות המזרח	כתר שם טוב
nikud	מַֽלְכוּתְךָ֗	מלכותך	מחזור יום כיפור עדות המזרח	סידור רשי
nikud	כִּרְצוֹנוֹ	כרצונו	מחזור יום כיפור עדות המזרח	דרך פקודיך
nikud	תַקִּיפָה	תקיפה	איכה רבה	דרך פקודיך
nikud	הַשְׁלֵךְ	השלך	משנה תורה, הלכות שאלה ופיקדון	כתר שם טוב
nikud	יַשְׁלִיכֶנָּה	ישליכנה	משנה חולין	מלאכת שלמה על משנה בכורות
nikud	הַטָּלִית	הטלית	מחזור יום כיפור עדות המזרח	קיצור שע ילקוט יוסף החדש - אבן העזר
nikud	שְׁפִיכָה	שפיכה	משנה תורה, הלכות טומאת אוכלים	מגיד משנה על משנה תורה, הלכות שחיטה
nikud	בַּחִצִּים	בחצים	איכה רבה	פירוש מהרזו על ויקרא רבה
nikud	וְקוֹרְאִין	וקוראין	משנה תורה, הלכות מגילה וחנוכה	מעשי למלך על משנה תורה, הלכות איסורי המזבח
nikud	בַּעֲבוֹדָתָם	בעבודתם	מחזור יום כיפור עדות המזרח	שפת אמת
nikud	הִשְׁמִיעָֽנוּ	השמיענו	מחזור יום כיפור עדות המזרח	דרך פקודיך
nikud	סוֹדִי	סודי	בן יהוידע על מגילה	תורת העולה
nikud	הֶחָזוֹן	החזון	איכה רבה	ישראל קדושים
nikud	תְּרֵין	תרין	מחזור יום כיפור עדות המזרח	דרך פקודיך
nikud	אֶקְרָ֑א	אקרא	מחזור יום כיפור עדות המזרח	דרך פקודיך
nikud	תֹאמַר	תאמר	תלמוד ירושלמי מעשרות	דרך פקודיך
nikud	תֹּאַר	תאר	בן יהוידע על מגילה	דרך פקודיך
nikud	בְּהֵמָה	בהמה	תלמוד ירושלמי מעשרות	מעשה רב
nikud	נוֹלַד	נולד	משנה תורה, הלכות טומאת אוכלים	קיצור שע ילקוט יוסף החדש - אבן העזר
nikud	חֲמוּרֵי	חמורי	בן יהוידע על ראש השנה	תורת נתנאל
nikud	וְעַבְדֵ֥י	ועבדי	אסתר	סידור רשי
nikud	שִׁחְרוּר	שחרור	תלמוד ירושלמי קידושין	אבן האזל על משנה תורה, הלכות שחיטה
nikud	אֲבֽוּנָא	אבונא	מחזור יום כיפור עדות המזרח	שחרית
nikud	אֲבוּךְ	אבוך	איכה רבה	משנה למלך על משנה תורה, הלכות נחלות
nikud	לְהִדָּרֵשׁ	להדרש	איכה רבה	ברית משה
nikud	פְּסוּלִין	פסולין	תלמוד ירושלמי שקלים	קסת הסופר
nikud	זָבִים	זבים	משנה תורה, הלכות טומאת אוכלים	כסף משנה על משנה תורה, הלכות טומאת צרעת
nikud	וּבְעָא	ובעא	תלמוד ירושלמי מעשרות	הערות ותיקונים על מדרש אגדה
nikud	וְהִצִּיל	והציל	משנה תורה, הלכות שאלה ופיקדון	כסף משנה על משנה תורה, הלכות שלוחין ושותפין
nikud	וְהָרוּחַ	והרוח	איכה רבה	שולחן ערוך, יורה דעה
nikud	לְהָא	להא	חגיגה	אבן האזל על משנה תורה, הלכות אישות
nikud	לֵירֵד	לירד	תלמוד ירושלמי מעשרות	דרך פקודיך
