# girsa-ref citation regression corpus. GENERATED by
# girsa-corpus/examples/measure-resolver.rs from Sefaria's link CSVs and
# Otzaria's heRefs. Every line is a citation that genuinely appears in the
# corpus. Do not hand-edit — regenerate.
# source	citation
sefaria	A Dictionary of the Talmud, Abbreviations 140
sefaria	Bereshit Rabbah 4:4
sefaria	A Dictionary of the Talmud, אֲבִילָה 1
sefaria	Avodah Zarah 14b:3
sefaria	A Dictionary of the Talmud, אֲבוּקָה 1
sefaria	Mishnah Negaim 14:1
sefaria	A Dictionary of the Talmud, אֲגוֹרָה 1
sefaria	Onkelos Exodus 20:21
sefaria	A Dictionary of the Talmud, אֲדוֹנִית 1
sefaria	Moed Katan 17b:16
sefaria	A Dictionary of the Talmud, אֲוַול אַוְולָא 1
sefaria	Jerusalem Talmud Berakhot 8:2:9
sefaria	A Dictionary of the Talmud, אֲחִידָה 1
sefaria	Temurah 2a:1
sefaria	A Dictionary of the Talmud, אֲכִילְתָּא 1
sefaria	Pesachim 114a:3
sefaria	A Dictionary of the Talmud, אֲלַכְסוֹן 1
sefaria	Aramaic Targum to Ruth 2:7
sefaria	A Dictionary of the Talmud, אֲלוּנִיסְתִּין 1
sefaria	Eruvin 3a:1
sefaria	A Dictionary of the Talmud, אֲמָנָה² 1
sefaria	Bava Metzia 46b:10
sefaria	A Dictionary of the Talmud, אֲנִיק 1
sefaria	Bamidbar Rabbah 2:11
sefaria	A Dictionary of the Talmud, אֲסִימוֹן 1
sefaria	Bereshit Rabbah 92:8
sefaria	A Dictionary of the Talmud, אֲפִילוּ 1
sefaria	Jerusalem Talmud Terumot 8:3:31
sefaria	A Dictionary of the Talmud, אֲפַרְכוֹרִיס 1
sefaria	Tosefta Terumot 10:15
sefaria	A Dictionary of the Talmud, אֲקַן 1
sefaria	Onkelos Numbers 13:23
sefaria	A Dictionary of the Talmud, אֲרִיסוּת 1
sefaria	Deuteronomy 13:10
sefaria	A Dictionary of the Talmud, אֲרַע² 1
sefaria	Mishnah Kelim 15:2
sefaria	A Dictionary of the Talmud, אֲשַׁרְתָּא 1
sefaria	Shabbat 156a:11
sefaria	A Dictionary of the Talmud, אֲתוּרָא 1
sefaria	Shabbat 145a:4
sefaria	A Dictionary of the Talmud, אִזְמֵל 1
sefaria	Moed Katan 26a:1
sefaria	A Dictionary of the Talmud, אִיֵם 1
sefaria	Sanhedrin 5a:12
sefaria	A Dictionary of the Talmud, אִיגָר 1
sefaria	Yevamot 22b:17
sefaria	A Dictionary of the Talmud, אִיהוּ 1
sefaria	Shabbat 13b:7
sefaria	A Dictionary of the Talmud, אִיטְלִיס 1
sefaria	Mishnah Kiddushin 1:1
sefaria	A Dictionary of the Talmud, אִיכּוּל 1
sefaria	Bava Kamma 117b:4
sefaria	A Dictionary of the Talmud, אִילֵין 1
sefaria	Tosefta Maasrot 1:1
sefaria	A Dictionary of the Talmud, אִימְרָא 1
sefaria	Yevamot 21b:6
sefaria	A Dictionary of the Talmud, אִין 1
sefaria	Taanit 22b:18
sefaria	A Dictionary of the Talmud, אִיסְטְוָוא 1
sefaria	Devarim Rabbah 6:11
sefaria	A Dictionary of the Talmud, אִיסְטְרוֹפוֹמִיטָא 1
sefaria	Bereshit Rabbah 66:2
sefaria	A Dictionary of the Talmud, אִיסְכּוֹלִי 1
sefaria	Vayikra Rabbah 1:14
sefaria	A Dictionary of the Talmud, אִיסְקוֹזוּת 1
sefaria	Pesachim 111b:13
sefaria	A Dictionary of the Talmud, אִיסָדֵי 1
sefaria	Sukkah 45b:1
sefaria	A Dictionary of the Talmud, אִיפְסָר 1
sefaria	Eruvin 100a:6
sefaria	A Dictionary of the Talmud, אִיצְצָא 1
sefaria	Jerusalem Talmud Avodah Zarah 2:8:5
sefaria	A Dictionary of the Talmud, אִירְמָה 1
sefaria	Mishnah Sotah 9:14
sefaria	A Dictionary of the Talmud, אִישָׁה 1
sefaria	Yoma 41a:14
sefaria	A Dictionary of the Talmud, אִיתַי 1
sefaria	Devarim Rabbah 11:10
sefaria	A Dictionary of the Talmud, אִלְמָלֵא 1
sefaria	Jerusalem Talmud Maasrot 1:2:10
sefaria	A Dictionary of the Talmud, אִמְפְּרָטוֹר 1
sefaria	Yevamot 97b:1
sefaria	A Dictionary of the Talmud, אִסְטְיוֹן 1
sefaria	Bamidbar Rabbah 9:7
sefaria	A Dictionary of the Talmud, אִסְטְרוֹבָל 1
sefaria	Targum Jonathan on Exodus 8:3
sefaria	A Dictionary of the Talmud, אִסְטָמָא 1
sefaria	Targum Jonathan on Joel 1:17
sefaria	A Dictionary of the Talmud, אִסְפַּקְלַרְיָא 1
sefaria	Mishnah Kelim 30:1
sefaria	A Dictionary of the Talmud, אִסְתַּהַר 1
sefaria	Bereshit Rabbah 39:9
sefaria	A Dictionary of the Talmud, אִצְטְלִית 1
sefaria	Eruvin 24a:5
sefaria	A Dictionary of the Talmud, אִרְעוּן 1
sefaria	Yevamot 39b:10
sefaria	A Dictionary of the Talmud, אִשְׁתְַּעמָמוּ 1
sefaria	Targum Jonathan on Ezekiel 19:4
sefaria	A Dictionary of the Talmud, אִתְכָּלוּ 1
sefaria	Ezekiel 7:25
sefaria	A Dictionary of the Talmud, אֵגוֹרִי 1
sefaria	Aramaic Targum to Esther 1:3
sefaria	A Dictionary of the Talmud, אֵיזֹבְיָוָן 1
sefaria	Targum Jonathan on Isaiah 33:18
sefaria	A Dictionary of the Talmud, אֵימְתָא 1
sefaria	Jerusalem Talmud Ketubot 7:1:3
sefaria	A Dictionary of the Talmud, אֵיפוֹפֵי 1
sefaria	Mishnah Menachot 8:6
sefaria	A Dictionary of the Talmud, אֵסְפַּר 1
sefaria	Ruth Rabbah 2:5
sefaria	A Dictionary of the Talmud, אֶבְמָכִיס 1
sefaria	Sanhedrin 107b:6
sefaria	A Dictionary of the Talmud, אֶוְוסוֹס 1
sefaria	Mishnah Bava Metzia 3:4
sefaria	A Dictionary of the Talmud, אֶסְפּוֹג 1
sefaria	Targum of I Chronicles 21:15
sefaria	A Dictionary of the Talmud, אֶצְבַּע 1
sefaria	Shabbat 67a:2
sefaria	A Dictionary of the Talmud, אֶשָּׁא 1
sefaria	Aramaic Targum to Ecclesiastes 7:3
sefaria	A Dictionary of the Talmud, אַבְטָא 1
sefaria	Targum Jonathan on Numbers 34:5
sefaria	A Dictionary of the Talmud, אַבְרוּרֵי 1
sefaria	Berakhot 40a:14
sefaria	A Dictionary of the Talmud, אַבּוּדְיָנָא 1
sefaria	Targum Jonathan on II Samuel 3:29
sefaria	A Dictionary of the Talmud, אַגְרָא 1
sefaria	Bava Kamma 60b:11
sefaria	A Dictionary of the Talmud, אַדְיוּתָא 1
sefaria	Jerusalem Talmud Maaser Sheni 4:6:9
sefaria	A Dictionary of the Talmud, אַדְרִיב 1
sefaria	Midrash Tanchuma Buber, Bereshit 40:3
sefaria	A Dictionary of the Talmud, אַוְורַקְסִין 1
sefaria	Niddah 30b:18
sefaria	A Dictionary of the Talmud, אַחְמִיתָא 1
sefaria	Jerusalem Talmud Berakhot 6:1:13
sefaria	A Dictionary of the Talmud, אַחֲרָיוּתָא 1
sefaria	Midrash Tanchuma, Balak 11:1
sefaria	A Dictionary of the Talmud, אַיְיבּוּ 1
sefaria	Tosefta Sotah 5:4
sefaria	A Dictionary of the Talmud, אַיְשַׁר 1
sefaria	Aramaic Targum to Job 39:25
sefaria	A Dictionary of the Talmud, אַכְסְנַיי 1
sefaria	Zevachim 94a:13
sefaria	A Dictionary of the Talmud, אַכְסָרָה 1
sefaria	Berakhot 7a:4
sefaria	A Dictionary of the Talmud, אַלְבָּנָא 1
sefaria	Aramaic Targum to Job 3:8
sefaria	A Dictionary of the Talmud, אַלְמִין 1
sefaria	Jerusalem Talmud Shabbat 12:3:2
sefaria	A Dictionary of the Talmud, אַלִיחְרוֹק 1
sefaria	Bava Batra 124a:8
sefaria	A Dictionary of the Talmud, אַלָּמוּתָא 1
sefaria	Jerusalem Talmud Shabbat 8:6:5
sefaria	A Dictionary of the Talmud, אַמְטוּ 1
sefaria	Yoma 16a:9
sefaria	A Dictionary of the Talmud, אַמָּה 1
sefaria	Jerusalem Talmud Sanhedrin 1:2:47
sefaria	A Dictionary of the Talmud, אַנְדְרַאי 1
sefaria	Onkelos Exodus 35:14
sefaria	A Dictionary of the Talmud, אַנְטְרִי 1
sefaria	Bereshit Rabbah 100:9
sefaria	A Dictionary of the Talmud, אַנְטַל 1
sefaria	Targum Jonathan on Genesis 10:18
sefaria	A Dictionary of the Talmud, אַנְפֵּי 1
sefaria	Jerusalem Talmud Bava Metzia 8:9:2
sefaria	A Dictionary of the Talmud, אַנְתּוּסָאֵי 1
sefaria	Bereshit Rabbah 44:12
sefaria	A Dictionary of the Talmud, אַסְכְּלָה 1
sefaria	Jerusalem Talmud Megillah 4:12:5
sefaria	A Dictionary of the Talmud, אַסְפַּלְיָא 1
sefaria	Tosefta Bava Batra 4:1
sefaria	A Dictionary of the Talmud, אַף 1
sefaria	Avodah Zarah 30a:15
sefaria	A Dictionary of the Talmud, אַפְטוּנִיוֹת 1
sefaria	Sanhedrin 100a:4
sefaria	A Dictionary of the Talmud, אַפְרִיקִי 1
sefaria	Jerusalem Talmud Shekalim 2:3:4
sefaria	A Dictionary of the Talmud, אַפְתָּאָה 1
sefaria	Shabbat 12a:9
sefaria	A Dictionary of the Talmud, אַפֵּירֵיטוֹס 1
sefaria	Mishnah Pesachim 8:1
