# girsa-ref lexicon. GENERATED by girsa-corpus/examples/build-lexicon.rs
# from Sefaria's schemas. Do not hand-edit — regenerate.
# variant	slug	he-title	en-title
'זוה”ק	zohar	ספר הזהר	Zohar
1 Chr	i-chronicles	דברי הימים א	I Chronicles
1 Chron	i-chronicles	דברי הימים א	I Chronicles
1 Chron.	i-chronicles	דברי הימים א	I Chronicles
1 Chronicles	i-chronicles	דברי הימים א	I Chronicles
1 Kgs	i-kings	מלכים א	I Kings
1 Kgs.	i-kings	מלכים א	I Kings
1 Kings	i-kings	מלכים א	I Kings
1 Reg.	i-kings	מלכים א	I Kings
1 Sam	i-samuel	שמואל א	I Samuel
1 Sam.	i-samuel	שמואל א	I Samuel
1 Samuel	i-samuel	שמואל א	I Samuel
138 Gates of Wisdom	kalach-pitchei-chokhmah	קל"ח פתחי חכמה	Kalach Pitchei Chokhmah
1Ch	i-chronicles	דברי הימים א	I Chronicles
1Ch.	i-chronicles	דברי הימים א	I Chronicles
1Sam	i-samuel	שמואל א	I Samuel
1Sam.	i-samuel	שמואל א	I Samuel
2 Chr	ii-chronicles	דברי הימים ב	II Chronicles
2 Chron	ii-chronicles	דברי הימים ב	II Chronicles
2 Chron.	ii-chronicles	דברי הימים ב	II Chronicles
2 Chronicles	ii-chronicles	דברי הימים ב	II Chronicles
2 Kgs	ii-kings	מלכים ב	II Kings
2 Kgs.	ii-kings	מלכים ב	II Kings
2 Kings	ii-kings	מלכים ב	II Kings
2 Reg.	ii-kings	מלכים ב	II Kings
2 Sam	ii-samuel	שמואל ב	II Samuel
2 Sam.	ii-samuel	שמואל ב	II Samuel
2 Samuel	ii-samuel	שמואל ב	II Samuel
2Ch	ii-chronicles	דברי הימים ב	II Chronicles
2Ch.	ii-chronicles	דברי הימים ב	II Chronicles
2Sam	ii-samuel	שמואל ב	II Samuel
2Sam.	ii-samuel	שמואל ב	II Samuel
A Choice of Pearls	mivchar-hapeninim	מבחר הפנינים	Mivchar HaPeninim
A Dictionary of the Talmud	a-dictionary-of-the-talmud	מילון שימושי לתלמוד	A Dictionary of the Talmud
A Jewish Critique of the Philosophy of Martin Buber	a-jewish-critique-of-the-philosophy-of-martin-buber	ביקורת יהודית על הגותו של מרטין בובר	A Jewish Critique of the Philosophy of Martin Buber
A Lifetime Companion to the Laws of Jewish Family Life	a-lifetime-companion-to-the-laws-of-jewish-family-life	מדריך להלכות טהרת המשפחה	A Lifetime Companion to the Laws of Jewish Family Life
A New Israeli Commentary on Pirkei Avot	a-new-israeli-commentary-on-pirkei-avot	פירוש ישראלי חדש על פרקי אבות	A New Israeli Commentary on Pirkei Avot
AHS	arukh-hashulchan	ערוך השולחן	Arukh HaShulchan
ARN	bavli/avot-derabbi-natan	אבות דרבי נתן	Avot DeRabbi Natan
Ab.	pirkei-avot	משנה אבות	Pirkei Avot
Ab. Zar.	bavli/avodah-zarah	עבודה זרה	Avodah Zarah
Ab. d’R. N.	bavli/avot-derabbi-natan	אבות דרבי נתן	Avot DeRabbi Natan
Abad.	bavli/tractate-avadim	מסכת עבדים	Tractate Avadim
Abadim	bavli/tractate-avadim	מסכת עבדים	Tractate Avadim
Abarbanel	abarbanel-on-torah	אברבנאל על תורה	Abarbanel on Torah
Abarbanel on Amos	abarbanel-on-amos	אברבנאל על עמוס	Abarbanel on Amos
Abarbanel on Ezekiel	abarbanel-on-ezekiel	אברבנאל על יחזקאל	Abarbanel on Ezekiel
Abarbanel on Guide for the Perplexed	abarbanel-on-guide-for-the-perplexed	אברבנאל על מורה נבוכים	Abarbanel on Guide for the Perplexed
Abarbanel on Habakkuk	abarbanel-on-habakkuk	אברבנאל על חבקוק	Abarbanel on Habakkuk
Abarbanel on Haggai	abarbanel-on-haggai	אברבנאל על חגי	Abarbanel on Haggai
Abarbanel on Hosea	abarbanel-on-hosea	אברבנאל על הושע	Abarbanel on Hosea
Abarbanel on I Kings	abarbanel-on-i-kings	אברבנאל על מלכים א	Abarbanel on I Kings
Abarbanel on I Samuel	abarbanel-on-i-samuel	אברבנאל על שמואל א	Abarbanel on I Samuel
Abarbanel on II Kings	abarbanel-on-ii-kings	אברבנאל על מלכים ב	Abarbanel on II Kings
Abarbanel on II Samuel	abarbanel-on-ii-samuel	אברבנאל על שמואל ב	Abarbanel on II Samuel
Abarbanel on Isaiah	abarbanel-on-isaiah	אברבנאל על ישעיהו	Abarbanel on Isaiah
Abarbanel on Jeremiah	abarbanel-on-jeremiah	אברבנאל על ירמיהו	Abarbanel on Jeremiah
Abarbanel on Joel	abarbanel-on-joel	אברבנאל על יואל	Abarbanel on Joel
Abarbanel on Jonah	abarbanel-on-jonah	אברבנאל על יונה	Abarbanel on Jonah
Abarbanel on Joshua	abarbanel-on-joshua	אברבנאל על יהושע	Abarbanel on Joshua
Abarbanel on Judges	abarbanel-on-judges	אברבנאל על שופטים	Abarbanel on Judges
Abarbanel on Malachi	abarbanel-on-malachi	אברבנאל על מלאכי	Abarbanel on Malachi
Abarbanel on Micah	abarbanel-on-micah	אברבנאל על מיכה	Abarbanel on Micah
Abarbanel on Nahum	abarbanel-on-nahum	אברבנאל על נחום	Abarbanel on Nahum
Abarbanel on Obadiah	abarbanel-on-obadiah	אברבנאל על עובדיה	Abarbanel on Obadiah
Abarbanel on Torah	abarbanel-on-torah	אברבנאל על תורה	Abarbanel on Torah
Abarbanel on Zechariah	abarbanel-on-zechariah	אברבנאל על זכריה	Abarbanel on Zechariah
Abarbanel on Zephaniah	abarbanel-on-zephaniah	אברבנאל על צפניה	Abarbanel on Zephaniah
Abdias	obadiah	עובדיה	Obadiah
Aben Ezra, Eben Ezra on Est	second-version-of-ibn-ezra-on-esther	אבן עזרא מהדורא תניינא על אסתר	Second Version of Ibn Ezra on Esther
